energy (eV),scatter (barn),capture (barn),total (barn)
9.999999999999999e-06,40.3265,26.57007,66.89657
1.03125e-05,39.71446,26.1644,65.87886
1.0625e-05,39.12968,25.77676,64.90644
1.09375e-05,38.5702,25.40585,63.97605
1.125e-05,38.03424,25.05051,63.08475
1.15625e-05,37.52023,24.70967,62.2299
1.1874999999999999e-05,37.02667,24.38237,61.40904
1.21875e-05,36.55227,24.06775,60.62002
1.25e-05,36.0958,23.765,59.8608
1.28125e-05,35.65618,23.47339,59.12957
1.3125e-05,35.2324,23.19226,58.42466
1.34375e-05,34.82355,22.921,57.74455
1.3749999999999999e-05,34.42873,22.65904,57.08777
1.4375e-05,33.67818,22.16098,55.83916
1.5e-05,32.97517,21.69438,54.66955
1.546246e-05,32.48274,21.36749,53.85023
1.5924920000000002e-05,32.01198,21.05495,53.06693
1.638738e-05,31.56136,20.75573,52.31709
1.684983e-05,31.12948,20.46893,51.59841
1.6875e-05,31.10649,20.45366,51.56015
1.695313e-05,31.03544,20.40647,51.44191
1.703125e-05,30.9649,20.35961,51.32451
1.7187499999999998e-05,30.82524,20.26686,51.0921
1.7500000000000002e-05,30.55159,20.08509,50.63668
1.8125e-05,30.02575,19.73576,49.76151
1.875e-05,29.52652,19.40404,48.93056
1.9375e-05,29.05173,19.08851,48.14024
1.9999999999999998e-05,28.59946,18.78788,47.38734
2.083056e-05,28.03035,18.40951,46.43986
2.166111e-05,27.49443,18.05313,45.54756
2.2491669999999998e-05,26.9886,17.71666,44.70526
2.332222e-05,26.51016,17.39834,43.9085
2.4152780000000002e-05,26.05672,17.09658,43.1533
2.498333e-05,25.6262,16.80999,42.43619
2.581389e-05,25.21672,16.53735,41.75407
2.6644439999999998e-05,24.82663,16.27756,41.10419
2.7499999999999998e-05,24.44353,16.02235,40.46588
2.84375e-05,24.04385,15.75604,39.79989
2.9375000000000003e-05,23.66356,15.50257,39.16613
3.0312499999999998e-05,23.30116,15.26096,38.56212
3.125e-05,22.95528,15.0303,37.98558
3.2187499999999996e-05,22.62472,14.80979,37.43451
3.3125e-05,22.30838,14.59872,36.9071
3.40625e-05,22.00529,14.39642,36.40171
3.5000000000000004e-05,21.71453,14.2023,35.91683
3.625e-05,21.34465,13.95528,35.29993
3.75e-05,20.99355,13.72072,34.71427
3.875e-05,20.65971,13.49761,34.15732
3.9999999999999996e-05,20.34176,13.28503,33.62679
4.125e-05,20.03848,13.08219,33.12067
4.25e-05,19.74879,12.88837,32.63716
4.4375e-05,19.33762,12.61314,31.95076
