energy (eV),count,cdf,cos
9.999999999999999e-06,3,[0.5 0.5 0.5][0.  0.5 1. ],[-1.  0.  1.]
40000.0,3,[0.4565085 0.4993303 0.5448309][0.        0.4779194 1.       ],[-1.  0.  1.]
52000.0,4,[0.417048  0.487171  0.5591228 0.5888626][0.         0.39559584 0.82091428 1.        ],[-1.    -0.125  0.688  1.   ]
54000.0,5,[0.5099312 0.49934   0.4955642 0.498824  0.5037515][0.        0.2841098 0.5636779 0.8435982 1.       ],[-1.    -0.437  0.125  0.688  1.   ]
130000.0,8,[0.3118827 0.3502893 0.4035904 0.4628057 0.5286511 0.6010405 0.6807742  0.731949 ][0.        0.0827715 0.2007537 0.3359115 0.4910745 0.6673064 0.8679104  1.       ],[-1.    -0.75  -0.437 -0.125  0.188  0.5    0.813  1.   ]
140000.0,11,[0.3276095 0.3473169 0.370738  0.3982654 0.4297473 0.4655612 0.5057699  0.5664628 0.6355561 0.7133855 0.7556811][0.         0.06344308 0.1305812  0.2028675  0.2802867  0.3642219  0.4552842  0.5893133  0.7395657  0.9081834  1.        ],[-1.     -0.812  -0.625  -0.437  -0.25   -0.0625  0.125   0.375   0.625   0.875   1.    ]
150000.0,10,[0.6086575 0.5621773 0.5236923 0.4964009 0.4760273 0.4627981 0.4578392  0.4572449 0.4611595 0.4663502][0.        0.1650877 0.3176524 0.4451641 0.5664745 0.6840624 0.770142  0.8561599 0.9420307 1.       ],[-1.     -0.718  -0.437  -0.187   0.0625  0.313   0.5     0.688   0.875   1.    ]
160000.0,5,[0.6351879 0.5370143 0.4641201 0.4055448 0.3786746][0.        0.4032376 0.6845564 0.9019726 1.       ],[-1.    -0.312  0.25   0.75   1.   ]
200000.0,3,[0.4761059 0.4985235 0.5268472][0.        0.4873147 1.       ],[-1.  0.  1.]
400000.0,7,[0.3886903 0.4225951 0.461841  0.5073077 0.5598748 0.6204219 0.6425296][0.        0.152116  0.3179478 0.4996632 0.6997599 0.9210655 1.       ],[-1.    -0.625 -0.25   0.125  0.5    0.875  1.   ]
515250.0,8,[0.4636269 0.4867968 0.5035769 0.5132805 0.5150919 0.5103322 0.4996191  0.4825514][0.        0.1487413 0.3032396 0.4621236 0.6228068 0.7509848 0.8772287  1.       ],[-1.     -0.687  -0.375  -0.0625  0.25    0.5     0.75    1.    ]
527750.0,18,[0.380789  0.4264327 0.467514  0.5009305 0.5277499 0.5479974 0.5616982  0.5688775 0.5695604 0.563772  0.5515377 0.5328824 0.5078316 0.4764102  0.4386434 0.3945566 0.3471621 0.3441747][0.         0.04924052 0.1064531  0.1669809  0.2312734  0.2985076  0.3678636  0.4385246  0.509677   0.5805103  0.6502172  0.7179935  0.7830381  0.8445532  0.9017441  0.9538191  0.9975805  1.        ],[-1.    -0.878 -0.75  -0.625 -0.5   -0.375 -0.25  -0.125  0.     0.125   0.25   0.375  0.5    0.625  0.75   0.875  0.993  1.   ]
530250.0,7,[0.4782876 0.4890588 0.4948076 0.4984256 0.5061012 0.5192778 0.5347352][0.        0.1209183 0.2748934 0.616069  0.7732774 0.9014498 1.       ],[-1.    -0.75  -0.437  0.25   0.563  0.813  1.   ]
532750.0,49,[1.351699  1.140509  0.9671469 0.8189478 0.7081888 0.6083954 0.5205056  0.4537806 0.3964543 0.3443505 0.2984069 0.2625139 0.2311492 0.2087735  0.1886591 0.1702662 0.1547427 0.1414756 0.1330895 0.1258589 0.119878  0.1151625 0.1117518 0.1096224 0.1087728 0.1092094 0.1109353 0.1139352  0.1181709 0.1238737 0.1309192 0.1389305 0.1516772 0.16666   0.1844699  0.2093923 0.2378455 0.2698263 0.3053313 0.3527977 0.4053722 0.4733743  0.5469293 0.641234  0.7429564 0.877808  0.9431912 1.131213  1.206323 ][0.         0.11339555 0.19980948 0.26857411 0.31667893 0.35749304  0.39136006 0.41571727 0.43569777 0.45310668 0.46789009 0.47910849  0.4887349  0.4955537  0.5017139  0.5074567  0.51249431 0.51708571  0.52024321 0.52325991 0.52613501 0.52889671 0.53155161 0.53414171  0.53670781 0.53925822 0.54184492 0.54447592 0.54716832 0.55007282  0.55313032 0.55623362 0.56073802 0.56567223 0.57129033 0.57897063  0.58769174 0.59759134 0.60880694 0.62427295 0.64208996 0.66625547  0.69380368 0.73123079 0.77414071 0.83491943 0.86587645 0.96026188  1.        ],[-1.     -0.909  -0.827  -0.75   -0.687  -0.625  -0.565  -0.515  -0.468  -0.421  -0.375  -0.335  -0.296  -0.265  -0.234  -0.202  -0.171  -0.14  -0.117  -0.0937 -0.0703 -0.0468 -0.0234  0.      0.0235  0.0469  0.0704   0.0938  0.117   0.141   0.165   0.188   0.219   0.25    0.282   0.321   0.36    0.399   0.438   0.485   0.532   0.587   0.641   0.704   0.766   0.841   0.875   0.966   1.    ]
535250.0,27,[0.990992  0.8645531 0.7562264 0.668471  0.5935846 0.5310634 0.4817652  0.4415288 0.4076659 0.3800614 0.3586003 0.3458124 0.3367652 0.3314704  0.3298701 0.3319508 0.3395518 0.3494882 0.3630536 0.3797589 0.400083  0.4348547 0.4782054 0.5302635 0.5673339 0.6401842 0.6508058][0.        0.102055  0.1879563 0.2570541 0.3163707 0.3669799 0.4085059  0.4445144 0.477633  0.5083544 0.5371622 0.5590694 0.5804    0.6012824  0.6220485 0.6428959 0.6690845 0.6904447 0.7128898 0.735917  0.760482  0.7980542 0.840968  0.8898787 0.9239042 0.9903177 1.       ],[-1.     -0.89   -0.784  -0.687  -0.593  -0.503  -0.421  -0.343  -0.265  -0.187  -0.109  -0.0468  0.0157  0.0782  0.141   0.204   0.282   0.344   0.407   0.469   0.532   0.622   0.716   0.813   0.875   0.985   1.    ]
540250.0,16,[0.8122431 0.7370846 0.6707855 0.6129318 0.5631095 0.5209048 0.4859035  0.4576919 0.4358558 0.4199814 0.4096546 0.4044615 0.4039882 0.409444  0.4207821 0.4410132][0.         0.09683298 0.1848249  0.2650572  0.3385598  0.4063107  0.4692362  0.5282109  0.5840576  0.6375474  0.6893997  0.740282  0.7908101  0.8546645  0.9194221  1.        ],[-1.    -0.875 -0.75  -0.625 -0.5   -0.375 -0.25  -0.125  0.     0.125   0.25   0.375  0.5    0.657  0.813  1.   ]
550250.0,16,[0.8788135 0.7930415 0.7170128 0.6501923 0.5920449 0.5420354 0.4996287  0.4642897 0.4354833 0.4126744 0.3953278 0.3829084 0.374881  0.3701985  0.3705243 0.3759902][0.         0.10449091 0.19886932 0.28431963 0.36195944 0.43283944  0.49794345 0.55818836 0.61442416 0.66743407 0.71793417 0.76657398  0.81393578 0.87242449 0.93020089 1.        ],[-1.    -0.875 -0.75  -0.625 -0.5   -0.375 -0.25  -0.125  0.     0.125   0.25   0.375  0.5    0.657  0.813  1.   ]
555250.0,21,[0.8965819 0.7926194 0.7051424 0.639982  0.5781425 0.5258912 0.4877631  0.4561156 0.4300343 0.40975   0.3948374 0.3851438 0.3804096 0.3804385  0.3849947 0.3937266 0.4065884 0.4295734 0.4587641 0.502129  0.5030571][0.         0.10473051 0.19384732 0.26177613 0.32877293 0.38894274  0.43658454 0.48047495 0.52212395 0.56138386 0.59911896 0.63566106  0.67164207 0.70740197 0.74337737 0.77958788 0.81720268 0.86946279  0.92498389 0.9984922  1.        ],[-1.     -0.876  -0.757  -0.656  -0.546  -0.437  -0.343  -0.25   -0.156  -0.0625  0.0313  0.125   0.219   0.313   0.407   0.5     0.594   0.719   0.844   0.997   1.    ]
