x,conversion
1.00E-10,7.77E-12
1.32E-08,7.77E-12
9.26E-08,9.64E-12
4.24E-07,1.05E-11
1.63E-06,1.06E-11
5.02E-06,9.76E-12
1.27E-05,9.18E-12
1.05E-04,7.37E-12
7.15E-04,6.25E-12
1.63E-03,6.21E-12
2.89E-03,6.52E-12
5.41E-03,7.46E-12
9.77E-03,9.37E-12
1.50E-02,1.22E-11
2.57E-02,1.77E-11
3.75E-02,2.61E-11
5.66E-02,4.03E-11
9.87E-02,6.87E-11
1.46E-01,1.02E-10
2.84E-01,1.77E-10
5.14E-01,2.51E-10
7.90E-01,3.07E-10
1.26E+00,3.47E-10
2.11E+00,3.87E-10
4.18E+00,4.12E-10
6.08E+00,4.22E-10
8.86E+00,4.43E-10
1.27E+01,5.04E-10
1.69E+01,5.74E-10
1.98E+01,6.14E-10
2.79E+01,5.30E-10
3.05E+01,4.80E-10
3.99E+01,4.22E-10
6.70E+01,3.37E-10
1.05E+02,2.98E-10
1.55E+02,2.75E-10
2.03E+02,2.68E-10
2.61E+02,2.72E-10
3.36E+02,3.03E-10
4.47E+02,3.62E-10
5.95E+02,4.22E-10
7.51E+02,4.92E-10
9.49E+02,5.60E-10
1.36E+03,6.65E-10
1.87E+03,7.75E-10
3.21E+03,9.32E-10
